,game_date,game_status_text,points_home,points_away,home_team_wins,city_home,nickname_home,city_away,nickname_away
0,2020-12-19,Final,120,117,1,Charlotte,Hornets,Charlotte,Hornets
1,2020-12-17,Final,115,123,0,Charlotte,Hornets,Charlotte,Hornets
2,2020-03-11,Final,98,109,0,Charlotte,Hornets,Charlotte,Hornets
3,2020-03-09,Final,143,138,1,Charlotte,Hornets,Charlotte,Hornets
4,2020-02-28,Final,96,99,0,Charlotte,Hornets,Charlotte,Hornets
5,2020-02-25,Final,119,80,1,Charlotte,Hornets,Charlotte,Hornets
6,2020-02-20,Final,93,103,0,Charlotte,Hornets,Charlotte,Hornets
7,2020-02-12,Final,108,115,0,Charlotte,Hornets,Charlotte,Hornets
8,2020-02-10,Final,76,87,0,Charlotte,Hornets,Charlotte,Hornets
9,2020-02-04,Final,125,110,1,Charlotte,Hornets,Charlotte,Hornets
10,2020-02-01,Final,114,90,1,Charlotte,Hornets,Charlotte,Hornets
11,2020-01-30,Final,121,107,1,Charlotte,Hornets,Charlotte,Hornets
12,2020-01-15,Final,100,86,1,Charlotte,Hornets,Charlotte,Hornets
13,2020-01-13,Final,115,112,1,Charlotte,Hornets,Charlotte,Hornets
14,2020-01-12,Final,100,92,1,Charlotte,Hornets,Charlotte,Hornets
15,2020-01-10,Final,109,92,1,Charlotte,Hornets,Charlotte,Hornets
16,2020-01-04,Final,120,123,0,Charlotte,Hornets,Charlotte,Hornets
17,2020-01-02,Final,106,109,0,Charlotte,Hornets,Charlotte,Hornets
18,2019-12-29,Final,117,104,1,Charlotte,Hornets,Charlotte,Hornets
19,2019-12-22,Final,119,93,1,Charlotte,Hornets,Charlotte,Hornets
20,2019-12-18,Final,100,98,1,Charlotte,Hornets,Charlotte,Hornets
21,2019-12-15,Final,107,85,1,Charlotte,Hornets,Charlotte,Hornets
22,2019-12-13,Final,73,83,0,Charlotte,Hornets,Charlotte,Hornets
23,2019-12-11,Final,108,113,0,Charlotte,Hornets,Charlotte,Hornets
